seed,size,task,model,digits,bb_spec,operation,batch_size,_step,_runtime,accuracy,_timestamp
0,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,500.145510012,0.961669921875,1767982576.7007473
1,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,489.363841828,0.7489013671875,1767983074.8809133
2,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,533.333158637,0.82861328125,1767983630.252323
3,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,496.374222348,0.9578857421875,1767984134.8012898
4,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,464.448070469,0.82470703125,1767984607.4908378
0,8192,cot,CoT,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,689.283126073,0.22314453125,1767985304.6230152
1,8192,cot,CoT,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,539.261556132,0.0390625,1767985851.7639215
2,8192,cot,CoT,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,540.732736103,0.1427001953125,1767986400.66994
3,8192,cot,CoT,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,476.673632778,0.2205810546875,1767986885.5576572
4,8192,cot,CoT,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,493.55307469,0.113525390625,1767987386.9174898
0,8192,cot,CoT,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,749.953918413,0.0,1767988144.860042
1,8192,cot,CoT,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,405.565329975,0.0,1767988558.2091532
2,8192,cot,CoT,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,552.64074184,0.0,1767989118.8009112
3,8192,cot,CoT,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,559.421598357,0.0,1767989686.0928426
4,8192,cot,CoT,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,482.309076441,0.0,1767990176.7022636
0,8192,cot,CoT,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,755.455111713,0.0,1767990940.444075
1,8192,cot,CoT,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,362.357790882,0.0,1767991310.8419678
2,8192,cot,CoT,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,470.42154136,0.0,1767991788.971523
3,8192,cot,CoT,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,522.813550624,0.0,1767992319.846719
4,8192,cot,CoT,13,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,497.499369147,0.0,1767992825.221254
0,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,62.358753427,0.996826171875,1767992896.025834
1,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,64.571058094,0.967529296875,1767992969.2737901
2,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,67.784247719,0.969970703125,1767993045.1623137
3,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,68.173875377,0.9951171875,1767993121.2057219
4,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,67.766412066,0.8131103515625,1767993197.1588223
0,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,78.471905486,0.243896484375,1767993283.583034
1,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,72.101108527,0.6422119140625,1767993364.1941655
2,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,52.730386801,0.857666015625,1767993424.7905695
