seed,size,task,model,digits,bb_spec,operation,batch_size,_step,_runtime,accuracy,_timestamp,TrainPos,EvalPos,run_name
0,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,53.738507258,0.9913330078125,1768154530.711998,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s0
0,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.265569235,0.999267578125,1768154594.097541,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s0
1,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,57.675937196,1.0,1768154660.684458,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s1
1,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,53.249435936,0.8037109375,1768154722.8489306,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s1
2,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,55.805975637,1.0,1768154788.2758012,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s2
2,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,55.657291866,0.951904296875,1768154852.6448293,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s2
3,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,55.073594403,0.99853515625,1768154917.0859454,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s3
3,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.768118675,0.999755859375,1768154981.004028,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s3
4,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,52.891364106,1.0,1768155042.5087798,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s4
4,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,52.291993362,0.998291015625,1768155103.541411,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s4
5,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,52.885974036,0.9686279296875,1768155165.2594936,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s5
5,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,53.408889629,0.9788818359375,1768155227.422775,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s5
6,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,75.363667718,0.9957275390625,1768155324.4265788,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s6
6,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.123917564,0.998046875,1768155388.0491767,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s6
7,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,52.98510113,0.998779296875,1768155449.9203522,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s7
7,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,73.424513178,0.99951171875,1768155531.810386,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s7
8,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,51.432931691,1.0,1768155591.7852418,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s8
8,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,72.585535942,0.9976806640625,1768155673.1500244,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s8
9,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.35823291,0.990478515625,1768155736.6499033,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s9
9,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,52.961771618,0.9996337890625,1768155798.7832088,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s9
0,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.871505953,0.623291015625,1768155862.3160102,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s0
0,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,65.585654724,0.937255859375,1768155936.747948,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s0
1,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.890613727,0.616455078125,1768156000.1231365,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s1
1,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,82.467319168,0.20703125,1768156091.2953348,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s1
2,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,56.778115763,1.0,1768156157.2013578,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s2
2,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,79.406034339,0.3851318359375,1768156245.3956723,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s2
3,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,57.765696296,0.9901123046875,1768156312.2747536,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s3
3,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.210840287,0.9910888671875,1768156374.8691223,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s3
4,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,78.852556909,0.435791015625,1768156462.1653614,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s4
4,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.216541927,0.822021484375,1768156524.8259866,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s4
5,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,78.62357957,0.3270263671875,1768156612.2105944,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s5
5,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,53.694669266,0.83154296875,1768156674.5821857,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s5
6,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,59.610869065,0.5205078125,1768156743.1243541,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s6
6,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.816136791,0.9908447265625,1768156806.9812052,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s6
7,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,63.068627637,0.90234375,1768156878.5321474,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s7
7,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,78.603489616,0.3382568359375,1768156965.537591,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s7
8,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,80.649784807,0.2427978515625,1768157054.6373668,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s8
8,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,81.098525419,0.2408447265625,1768157144.5768218,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s8
9,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,55.637798349,0.986328125,1768157208.7706883,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s9
9,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.019511269,0.9947509765625,1768157270.9651592,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s9
